Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,122.820000,126.370003,122.279999,124.739998,124.739998,35528500
2023-01-04,127.379997,129.050003,125.849998,127.370003,127.370003,32397100
2023-01-05,126.129997,128.520004,124.540001,126.940002,126.940002,25447100
2023-01-06,128.970001,130.330002,126.040001,130.020004,130.020004,27584500
2023-01-09,131.160004,132.949997,129.279999,129.470001,129.470001,26649100
2023-01-10,127.269997,133.440002,127.150002,132.990005,132.990005,28684400
2023-01-11,130.960007,133.850006,130.339996,132.889999,132.889999,25423000
2023-01-12,133.440002,137.679993,131.759995,136.710007,136.710007,30757700
2023-01-13,134.970001,137.389999,134.839996,136.979996,136.979996,22423800
2023-01-17,136.179993,136.750000,134.250000,135.360001,135.360001,21147600
2023-01-18,135.809998,137.250000,132.800003,133.020004,133.020004,20215500
2023-01-19,132.490005,137.449997,132.139999,136.149994,136.149994,28625200
2023-01-20,135.889999,139.940002,134.610001,139.369995,139.369995,28688600
2023-01-23,139.289993,143.759995,138.660004,143.270004,143.270004,27470100
2023-01-24,141.690002,145.000000,141.360001,143.139999,143.139999,21970200
2023-01-25,141.220001,143.169998,140.309998,141.500000,141.500000,26622000
2023-01-26,144.399994,147.509995,143.300003,147.300003,147.300003,25482100
2023-01-27,148.240005,153.190002,147.389999,151.740005,151.740005,35771900
2023-01-30,149.410004,151.119995,146.949997,147.059998,147.059998,28040100
2023-01-31,147.949997,149.880005,147.520004,148.970001,148.970001,29842100
2023-02-01,148.029999,153.580002,147.059998,153.119995,153.119995,55661000
2023-02-02,183.380005,197.160004,180.160004,188.770004,188.770004,150475700
2023-02-03,183.470001,196.770004,182.889999,186.529999,186.529999,76809700
2023-02-06,186.529999,190.699997,185.520004,186.059998,186.059998,42483800
2023-02-07,185.580002,193.779999,184.399994,191.619995,191.619995,47080700
2023-02-08,190.000000,190.830002,182.919998,183.429993,183.429993,36139100
2023-02-09,186.130005,186.649994,177.270004,177.919998,177.919998,37118800
2023-02-10,176.350006,178.889999,173.350006,174.149994,174.149994,33433600
2023-02-13,178.220001,181.000000,175.820007,179.429993,179.429993,31463200
2023-02-14,177.160004,181.509995,175.880005,179.479996,179.479996,24034600
2023-02-15,176.419998,178.190002,175.330002,177.160004,177.160004,25308900
2023-02-16,172.750000,175.850006,171.789993,172.440002,172.440002,25827500
2023-02-17,170.220001,173.179993,169.699997,172.880005,172.880005,24171300
2023-02-21,174.309998,178.169998,171.880005,172.080002,172.080002,34592600
2023-02-22,171.070007,172.759995,169.690002,171.119995,171.119995,22433200
2023-02-23,172.000000,173.690002,169.380005,172.039993,172.039993,20017800
2023-02-24,168.639999,170.720001,167.660004,170.389999,170.389999,19791300
2023-02-27,171.880005,173.119995,169.059998,169.539993,169.539993,19277000
2023-02-28,171.899994,177.550003,171.869995,174.940002,174.940002,46051100
2023-03-01,174.589996,177.850006,173.050003,173.419998,173.419998,30998400
2023-03-02,172.380005,175.009995,171.429993,174.529999,174.529999,17352000
2023-03-03,178.919998,186.619995,177.050003,185.250000,185.250000,45877700
2023-03-06,188.000000,189.660004,184.639999,184.899994,184.899994,33209400
2023-03-07,189.000000,190.360001,184.009995,184.509995,184.509995,36701500
2023-03-08,182.869995,185.259995,181.339996,184.970001,184.970001,19432400
2023-03-09,186.350006,188.929993,180.300003,181.690002,181.690002,26582800
2023-03-10,181.009995,184.770004,178.800003,179.509995,179.509995,25665000
2023-03-13,177.960007,183.779999,174.820007,180.899994,180.899994,24728000
2023-03-14,187.580002,194.320007,186.559998,194.020004,194.020004,41642600
2023-03-15,192.949997,197.779999,190.839996,197.750000,197.750000,42123600
2023-03-16,198.259995,205.759995,196.089996,204.929993,204.929993,50447100
2023-03-17,200.559998,201.899994,195.429993,195.610001,195.610001,50141100
2023-03-20,198.479996,199.360001,193.639999,197.809998,197.809998,25186300
2023-03-21,203.199997,203.550003,197.949997,202.160004,202.160004,31827000
2023-03-22,202.500000,207.369995,199.669998,199.809998,199.809998,28477800
2023-03-23,202.839996,207.880005,202.149994,204.279999,204.279999,27389700
2023-03-24,205.179993,207.580002,203.550003,206.009995,206.009995,27716400
2023-03-27,204.809998,205.860001,201.360001,202.839996,202.839996,18527200
2023-03-28,200.149994,201.029999,197.899994,200.679993,200.679993,19127300
2023-03-29,203.559998,205.720001,202.539993,205.350006,205.350006,18851100
2023-03-30,203.380005,208.089996,202.820007,207.839996,207.839996,22608300
2023-03-31,207.240005,212.169998,206.770004,211.940002,211.940002,25440300
2023-04-03,208.839996,213.490005,208.199997,213.070007,213.070007,17924600
2023-04-04,213.389999,216.240005,212.539993,214.720001,214.720001,21026400
2023-04-05,214.149994,215.190002,209.940002,211.479996,211.479996,19396600
2023-04-06,209.250000,216.940002,208.649994,216.100006,216.100006,26104400
2023-04-10,214.710007,215.660004,210.660004,214.750000,214.750000,16106100
2023-04-11,215.479996,216.020004,213.410004,213.850006,213.850006,16710100
2023-04-12,214.839996,216.839996,212.580002,214.000000,214.000000,18972200
2023-04-13,215.729996,221.149994,215.690002,220.350006,220.350006,23310400
2023-04-14,217.880005,222.110001,217.550003,221.490005,221.490005,21591200
2023-04-17,219.789993,220.979996,217.130005,218.860001,218.860001,15481900
2023-04-18,219.910004,220.440002,216.210007,217.889999,217.889999,12281000
2023-04-19,213.470001,217.330002,212.929993,215.699997,215.699997,15898100
2023-04-20,213.479996,216.750000,212.770004,213.070007,213.070007,16475400
2023-04-21,210.210007,213.410004,209.580002,212.889999,212.889999,17717200
2023-04-24,213.679993,213.919998,210.710007,212.789993,212.789993,15750900
2023-04-25,210.820007,211.259995,207.130005,207.550003,207.550003,19198200
2023-04-26,212.500000,214.110001,208.880005,209.399994,209.399994,41992700
2023-04-27,239.889999,241.690002,236.770004,238.559998,238.559998,71196500
2023-04-28,239.009995,240.429993,235.750000,240.320007,240.320007,39554000
2023-05-01,238.619995,244.000000,236.460007,243.179993,243.179993,29143900
2023-05-02,243.179993,244.919998,238.990005,239.240005,239.240005,24350100
2023-05-03,239.470001,241.750000,232.750000,237.029999,237.029999,34463900
2023-05-04,236.059998,238.199997,232.929993,233.520004,233.520004,17889400
2023-05-05,232.240005,234.679993,229.850006,232.779999,232.779999,26978900
2023-05-08,231.419998,235.619995,230.270004,233.270004,233.270004,16400500
2023-05-09,231.460007,235.880005,231.080002,233.369995,233.369995,16865600
2023-05-10,236.169998,236.750000,230.720001,233.080002,233.080002,19119000
2023-05-11,233.050003,238.210007,232.300003,235.789993,235.789993,20449000
2023-05-12,236.740005,236.960007,231.449997,233.809998,233.809998,16155300
2023-05-15,236.919998,240.259995,235.330002,238.860001,238.860001,20653200
2023-05-16,235.789993,239.639999,235.520004,238.820007,238.820007,18163800
2023-05-17,238.449997,243.839996,238.139999,242.490005,242.490005,21193100
2023-05-18,241.300003,247.089996,241.190002,246.850006,246.850006,22943300
2023-05-19,247.470001,248.690002,243.410004,245.639999,245.639999,21599800
2023-05-22,245.410004,253.570007,245.119995,248.320007,248.320007,27738500
2023-05-23,246.809998,251.610001,246.649994,246.740005,246.740005,17748100
2023-05-24,245.279999,249.589996,244.949997,249.210007,249.210007,17724300
2023-05-25,253.399994,255.619995,249.169998,252.690002,252.690002,22371400
2023-05-26,252.929993,262.309998,252.710007,262.040009,262.040009,25727200
2023-05-30,265.250000,268.649994,261.290009,262.519989,262.519989,23816500
2023-05-31,260.000000,265.000000,258.450012,264.720001,264.720001,25473700
2023-06-01,265.899994,274.000000,265.890015,272.609985,272.609985,25609500
2023-06-02,272.660004,275.350006,271.119995,272.609985,272.609985,19405300
2023-06-05,270.299988,275.570007,269.559998,271.390015,271.390015,20742900
2023-06-06,270.140015,276.570007,269.690002,271.119995,271.119995,19419000
2023-06-07,271.670013,274.250000,262.799988,263.600006,263.600006,26163600
2023-06-08,260.619995,267.649994,258.880005,264.579987,264.579987,20899400
2023-06-09,262.480011,267.950012,261.700012,264.950012,264.950012,16938500
2023-06-12,267.170013,271.750000,265.329987,271.049988,271.049988,15442500
2023-06-13,274.880005,275.720001,269.089996,271.320007,271.320007,16164000
2023-06-14,271.890015,274.989990,268.320007,273.350006,273.350006,19175100
2023-06-15,272.299988,283.989990,271.420013,281.829987,281.829987,25973500
2023-06-16,284.750000,287.850006,280.130005,281.000000,281.000000,43102500
2023-06-20,278.730011,284.799988,276.220001,284.329987,284.329987,20701600
2023-06-21,283.529999,284.000000,278.359985,281.640015,281.640015,20556200
2023-06-22,279.079987,285.260010,277.790009,284.880005,284.880005,17563100
2023-06-23,281.510010,289.670013,278.950012,288.730011,288.730011,50988400
2023-06-26,288.700012,289.790009,277.600006,278.470001,278.470001,24232700
2023-06-27,282.010010,289.350006,280.649994,287.049988,287.049988,26108300
2023-06-28,284.820007,289.549988,284.059998,285.290009,285.290009,16722100
2023-06-29,284.500000,286.570007,280.690002,281.529999,281.529999,15395700
2023-06-30,284.760010,289.049988,284.420013,286.980011,286.980011,19676000
2023-07-03,286.700012,289.399994,284.850006,286.019989,286.019989,8629300
2023-07-05,287.649994,298.119995,286.359985,294.369995,294.369995,33865500
2023-07-06,295.890015,298.119995,291.309998,291.989990,291.989990,47600500
2023-07-07,292.179993,296.200012,288.660004,290.529999,290.529999,25546200
2023-07-10,295.549988,298.130005,287.049988,294.100006,294.100006,37058300
2023-07-11,293.899994,300.179993,291.899994,298.290009,298.290009,27585900
2023-07-12,301.750000,309.450012,300.100006,309.339996,309.339996,36677100
2023-07-13,313.619995,316.239990,310.290009,313.410004,313.410004,30281000
2023-07-14,311.790009,314.880005,307.359985,308.869995,308.869995,22576000
2023-07-17,307.540009,311.709991,304.709991,310.619995,310.619995,25323100
2023-07-18,310.880005,314.200012,307.619995,312.049988,312.049988,20764600
2023-07-19,313.029999,318.679993,310.519989,316.010010,316.010010,21763700
2023-07-20,313.500000,315.540009,302.220001,302.519989,302.519989,23836900
2023-07-21,304.570007,305.459991,291.200012,294.260010,294.260010,42089700
2023-07-24,295.779999,297.519989,288.299988,291.609985,291.609985,24915700
2023-07-25,295.190002,298.299988,291.859985,294.470001,294.470001,19585600
2023-07-26,301.190002,301.769989,291.899994,298.570007,298.570007,47256900
2023-07-27,325.119995,325.350006,309.839996,311.709991,311.709991,64229200
2023-07-28,316.880005,326.200012,314.250000,325.480011,325.480011,39220300
2023-07-31,323.690002,325.660004,317.589996,318.600006,318.600006,25799600
2023-08-01,317.540009,324.140015,314.660004,322.709991,322.709991,22817900
2023-08-02,318.000000,318.390015,310.649994,314.309998,314.309998,20461100
2023-08-03,309.929993,315.950012,309.929993,313.190002,313.190002,15180200
2023-08-04,314.959991,318.410004,310.200012,310.730011,310.730011,17600200
2023-08-07,313.230011,317.070007,310.459991,316.559998,316.559998,16236500
2023-08-08,314.399994,317.890015,310.109985,312.640015,312.640015,15183500
2023-08-09,312.880005,313.630005,302.850006,305.209991,305.209991,19955800
2023-08-10,307.940002,312.339996,303.869995,305.739990,305.739990,14358900
2023-08-11,302.570007,304.720001,300.359985,301.640015,301.640015,13967800
